rank,doc_id,corpus_type,assigned_sdg,projection_score,title,text_preview,source_doc_or_year
31,sdgi_03404_2,policy,11,0.458814,,"It is anticipated that over the next five years, these places can grow using sustainable practices and methods. The City Authorities will contribute to the promotion of affordable land and housing by 25 percent of population having access to such, stabilisation of the population growth at 0.2 percent, decline of law and order issues at the community level by 55 percent, and the growth of business",sdgi_PNG_VNR_2020
32,sdgi_00076_7,policy,8,0.458794,,"It is a project that aims to contribute to the achievement of SDGs 1 and 10 by supporting MASFAMU and Provincial Governments to improve programs, policies and technical capacities and skills in the social protection sector, so that the government can increasingly respond effectively to the needs of the most vulnerable people. In 2019, under the APROSOC pilot project, two quarterly payment sessions",sdgi_AGO_VNR_2021
33,sdgi_03136_2,policy,10,0.458437,,"Between September 2022 and September 2023, the eligibility threshold will increase by 12% ASSESSMENT OF PROGRESS IN THE AUTONOMOUS REGIONS OVERALL EVALUATION The assessment of SDG 10 for the national island regions is analytically undermined, to a certain extent, by the lack of indicators broken down at NUTS II level in this feld. Figure 43 – Compensation of employees in gross value added in the a",sdgi_PRT_VNR_2023
34,sdgi_01520_27,policy,5,0.458353,,"Actions by the EU and its Member States are mutually supportive and are coordinated to ensure complementarity and a positive impact in support of the SDGs. In addition to acting together with the EU through joint programming and Team Europe Initiatives, Member States carry out their own projects in support of the 2030 Agenda including SDG 5, such as the following illustrative initiatives. 77Progre",sdgi_EU_VNR_2023
35,sdgi_04788_2,policy,16,0.457565,,"It was established to strengthen human rights principles and their protection in the Kingdom. It is worth noting that the Centre has full membership in the SCA linked to the International Coalition for National Human Rights Centres associated with the UN after receiving A-status from the 16.1.1 Number of victims of intentional homicide per 100,000 population, by sex and age 2020 2016 Adult Female",sdgi_JOR_VNR_2022
36,SDSN_Sustainable_Development_Report_2024_0071,policy,6,0.457538,,"PART 2 - THE SDG INDEX AND DASHBOARDS Figure 2.9 2024 SDG dashboards for OECD countries (levels and trends) DECENT INDUSTRY, RESPONSIBLE PEACE, GOOD HEALTH CLEAN WATER AFFORDABLE WORK AND INNOVATION SUSTAINABLE CONSUMPTION LIFE JUSTICE PARTNERSHIPS NO ZERO AND QUALITY GENDER AND AND CLEAN ECONOMIC AND REDUCED CITIES AND AND CLIMATE BELOW LIFE AND STRONG FOR THE POVERTY HUNGER WELL-BEING EDUCATION",SDSN_Sustainable_Development_Report_2024
37,sdgi_01967_9,policy,6,0.457514,,"The country is currently developing a Draft Wetlands policy which will ensure protection of such important sites. There has been an increase in poor utilization of wetlands since 2019. For instance, Emaswati has constructed houses in such lands and the diverse plants has been improperly harvested for commercial purposes. The country needs to speed up the attempt of devising a strategy to protect t",sdgi_SWZ_VNR_2022
38,UN_SDG_Progress_Report_2019_0163,policy,17,0.457073,,"the status of national institutions (the Paris Principles) must be World 60 accelerated. In 2018, only 39 per cent of all countries had successfully 39 achieved compliance; an increase of 3 per cent (7 countries) from 0 20 40 60 80 100 2015. If growth continues at the same rate, by 2030 only around half NHRIs that have applied NHRIs that are compliant of all countries will have compliant NHRIs to",UN_SDG_Progress_Report_2019
39,sdgi_05085_2,policy,17,0.457051,,"Since 2018 most goods imported and originating from LDCs have free access to the Icelandic market without customs, duties, or quotas. Iceland has also focused on putting gender equality on the agenda within international trade. Iceland will continue to support international partnerships and cooperation with civil society actors, the private sector, academia, and other stakeholders. Main challenges",sdgi_ISL_VNR_2023
40,sdgi_05028_9,policy,17,0.456163,,"A total of EUR 9,8 million was earmarked for this response by two Government Resolutions on the Humanitarian Reaction to the Covid-19 Pandemic in Non-African Priority Countries and Humanitarian Aid and on the Additional Reaction to the Covid-19 Pandemic Focusing on Africa. Youths´ point of view “SDGs cannot be considered only from the viewpoint of the western world. We are not doing good for other",sdgi_CZE_VNR_2021
41,OECD_2022_SDGs_in_the_Balance_2022_0118,policy,2,0.4558,,"● ending hunger, and improving - what the United Nations Secretary- These two challenges - the climate nutrition, food security, and General has called a code red for crisis and the energy crisis - are sustainable agricultural practices humanity. closely linked and require urgent (SDG 2) At the same time, 759 million people action. It's not one or the other; we ● ensuring healthy lives and promoti",OECD_2022_SDGs_in_the_Balance_2022
42,SDSN_Sustainable_Development_Report_2024_0121,policy,17,0.455666,,"Sustainable Development Report 2024 The SDGs and the UN Summit of the Future 3. Government Support preceding two full years."" The UN Fifth Committee Sweden). Box. 3.2 discusses and compares the evolution maintains a list of countries subject to the provisions of of expenditure on international solidarity and military Article 19, all of which are assigned a value of 0 on this expenditure since the",SDSN_Sustainable_Development_Report_2024
43,sdgi_04988_4,policy,17,0.455032,,"• Better education and research opportunities. Improved quality of education and expansion of research opportunities are directly linked to the SDG 2030 Agenda and particularly SDGs 3.b, 4, 7.a, 9.5, 9.b, 14.a and 17. • Strengthened democracy and human rights. Some of CEPA obligations refer to strengthening of democracy, equal justice, establishment of impartial, accountable and inclusive institut",sdgi_ARM_VNR_2020
44,UN_SDG_Progress_Report_2021_0186,policy,17,0.454568,,"on health and other areas and by highlighting the human rights implications of the crisis. They have also combated the spread of inaccurate and misleading information and worked to protect vulnerable groups. In 2020, 82 countries had independent NHRIs that successfully achieved compliance with international standards, a 17 per cent improvement from 2015. One in three LDCs now have 70 an internatio",UN_SDG_Progress_Report_2021
45,SDSN_Sustainable_Development_Report_2025_0131,policy,10,0.454232,,"0 2 4 6 8 0 2 4 6 8 0 2 4 6 8 0 2 4 6 8 0 2 4 6 8 0 2 4 6 8 0 2 4 6 6 6 6 6 7 7 7 7 7 8 8 8 8 8 9 9 9 9 9 0 0 0 0 0 1 1 1 1 1 2 2 2 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 ODA as percent of GNI International target Note: From 1960-2017, ODA as a percentage of GNI, net disbursements; 2018-2024, ODA grant equ",SDSN_Sustainable_Development_Report_2025
46,sdgi_01323_0,policy,4,0.454196,,"S 41 GOAL 4: ENSURE INCLUSIVE AND EQUITABLE QUALITY EDUCATION AND PROMOTE LIFELONG LEARNING OPPORTUNITIES FOR ALL There has been an increase in enrolment at all levels of education over the past three years. In the Mainland, the total enrolment of pupils in Standards I-VII increased from 8,639,202 (4,265,714 male and 4,373,488 female) pupils in year 2016 to 10,111,671 (5,046,571 male and 5,065,100",sdgi_TZA_VNR_2019
47,ungdc_004276,policy,3,0.451976,,"On another note, in the fight against HIV and AIDS, Eswatini has continued to employ all means possible to stop the spread of the virus even during this critical time in history. This is evidenced by the achievement of the UNAIDS goal of 95-95- 95, which summarily means 95 percent of people with HIV identified, 95 percent of people with HIV on treatment, and 95 percent of people on treatment viral",ungdc_SWZ_76_2021
48,sdgi_03425_14,policy,11,0.450893,,"Source: Slovak Hydrometeorological Institute Share of PM2,5 emmissions by sector, 2020 Goal 11: Sustainable cities and communities 113 876543210 2015 2016 2017 2018 2019 2020 % of population Population reporting occurrence of crime, violence or vandalism in their area Source: Eurostat, online data code: SDG_16_20 11.7 11.7.2 By 2030, provide universal access to safe, inclusive and accessible, gree",sdgi_SVK_VNR_2023
49,sdgi_04856_0,policy,16,0.450471,,"99 TARGETS EVOLUTION 16.1 Signifcantly reduce all forms of violence and related death rates everywhere 16.2 End abuse, exploitation, traffcking and all forms of violence and torture against children 16.3 Promote the rule of law and ensure equal access to justice 16.4 Signifcantly reduce illicit fnancial and arms fows, strengthen the recovery and return of stolen assets and combat all forms of orga",sdgi_PRT_VNR_2023
50,SDSN_Sustainable_Development_Report_2025_1102,policy,17,0.450288,,"2 82 2 0 0 2 2 3 1 • • D A E P x e p rs r o o n p s r i h at e io ld n i s n a p re ri s la o w n f ( u p l e a r n 1 d 0 a 0 d ,0 e 0 q 0 u p a o te p ly u l c a o ti m on p ) ensated (worst 0-1 best) 16 N 5. A 52 N 02 A 2 • • A • SDG8 - Decent Work and Economic Growth SDG17 - Partnerships for the Goals Adjusted GDP growth index (worst 0-100 best) 72.72023 • • Government spending on health and ed",SDSN_Sustainable_Development_Report_2025
51,sdgi_03446_7,policy,11,0.449897,,"This is being implemented in collaboration with the informal sector and business community. The Government is committed to further enhancing the quality of life and developmental potential of the Grenadines and is working with the private sector and NGOs in those islands. The Canouan investors, the Mustique Company and a host of environmental NGOs on Union Island have continued to support educatio",sdgi_VCT_VNR_2020
52,sdgi_00161_7,policy,8,0.449787,,"The trend is going in the right direction, but the increases do not cancel out the previous cuts. An improved employment rate has benefited the unemployed who are now employed, and the number of people who have been unemployed for over a year almost halved in 2015–2019 (from 122 000 to 63 000). Positive aspects include the reforms taking effect in 2020: restoring the subjective right to day care f",sdgi_FIN_VNR_2020
53,UN_SDG_Progress_Report_2024_0084,policy,7,0.449732,,"In developing countries rebounded to $15.4 billion, an increase of 25 per cent 2021, 80 per cent of commitments went to 19 countries, a figure rising to 25 over 2021 yet still around half the 2016 peak of $28.5 billion. This declining in 2022. Trends in technology over the last decade have shifted investments trend could impede progress towards Goal 7, especially for the LDCs, LLDCs from hydropowe",UN_SDG_Progress_Report_2024
54,sdgi_03919_13,policy,13,0.449542,,"The focal points are responsible for coordinating, monitoring, evaluating and reporting on the development of their sectoral climate action. 210 CLIMATE VOLUNTARY NATIONAL REVIEW 2022 strategies to achieve targets in the NDC. The sectoral scope of this NDC was broadened to include emission reduction targets in the energy, forestry, and land-use sectors. The addition of the land-use sectors and for",sdgi_JAM_VNR_2022
55,ungdc_002908,policy,13,0.44954,,"However, despite those advances, the reports urge us to redouble our efforts urgently. The natural environment is deteriorating at an alarming rate. Sea levels are rising, ocean acidification is accelerating, the last four years have been the hottest on record and 1 million plant and animal species are threatened with extinction. At the same time, the number of people suffering from hunger continu",ungdc_MCO_74_2019
56,sdgi_01004_7,policy,4,0.449533,,"24 The following is a selection of the indicators defined for monitoring SDG 4. The full list is provided in the Annex to this document. Some indicators do not present 2020 values due to compliance with national and jurisdictional regulations for Promotion and Evaluation during the pandemic (Res. CFE N° 368/2020 and Res. 2015/2020 ME-GCABA). Likewise, the indicators declared in this report may reg",sdgi_ARG_VLR_buenos_aires_2022
57,OECD_2022_The_Short_and_Winding_Road_to_2030_Measuring_Distance_to_the_SDG_Targets__v2_0024,policy,17,0.449204,,"More details available at: https://www.un.org/sustainabledevelopment/news/communications-material/. The 17 SDGs are underpinned by 169 targets, which in several cases specify the achievements to be accomplished or the policies to be deployed by 2030. To monitor progress towards these targets, in 2015 the United Nations Statistical Commission (StatCom) created the Inter-Agency Expert Group on SDG i",OECD_2022_The_Short_and_Winding_Road_to_2030_Measuring_Distance_to_the_SDG_Targets__v2
58,sdgi_01307_1,policy,4,0.449079,,"It currently stands at 67.8 percent from 74 percent in 2019. Even though completion rates are improving, it is evident that most of the students who start primary education never make it to the final grades of lower secondary education level and this is a major concern for the country. 43 CHAPTER FOUR Source: Annual Education Census reports Figure 22: ECCDE Enrolment Rate 0 20 40 60 80 100 120 Nat",sdgi_SWZ_VNR_2022
59,sdgi_04894_0,policy,16,0.449058,,"5.16. SDG 16. PROMOTE PEACEFUL AND INCLUSIVE SOCIETIES FOR SUSTAINABLE DEVELOPMENT, PROVIDE ACCESS TO JUSTICE FOR ALL AND BUILD EFFECTIVE, ACCOUNTABLE AND INCLUSIVE INSTITUTIONS AT ALL LEVELS As well as life, education, health and other fundamental rights for all, access to justice for all and protection of peace environment are essential to ensure that sustainable development is fully realised. P",sdgi_TUR_VNR_2019
60,sdgi_04369_3,policy,15,0.448945,,"The Comprehensive Plan will also include the city’s marine spatial planning and point out key habitats supporting local food webs, climate change needs, and recreational areas. A new Action Plan for the GRP 2021-2026 will be launched, where approx. EUR 8.9 million is allocated. This is an increase of 14% compared to the previous action plan. The action plan will improve the biodiversity and recrea",sdgi_SWE_VLR_helsingborg_2021
61,SDSN_Sustainable_Development_Report_2025_1532,policy,10,0.448835,,. . . . . 7 3 1 3 1 2 2 2 2 2 2 2 0 0 0 0 0 0 2 2 2 2 2 2 3 2 3 2 0 2 • • • • • • D A A A A A Y Ex ie p ld o r g ts a p o f c h lo a s z u a r r e d o (% us o p f e p s o ti t c e id n e ti s a l ( t y o ie n l n d e ) s per million population) 7 4 6 5 . . 2 2 2 2 0 0 2 2 3 2 • • • • S G Pa D in lm i G c a 1 o r e 0 a f t f i - i o c i R en e t duced Inequalities 25 1 . .,SDSN_Sustainable_Development_Report_2025
62,sdgi_04839_17,policy,17,0.448748,,"An Inter-Ministerial Committee (IMC) has been appointed to coordinate this initiative. The OSSAPSDGs chairs the IMC, and the body meets quarterly to review SDGs implementation across the federal MDAs. At the sub-national level, OSSAP-SDGs in partnership with the United Nations Development Programme (UNDP) is working with the 36 States and the FCT to mainstream the priority SDGs into the medium and",sdgi_NGA_VNR_2020
63,sdgi_05207_8,policy,17,0.448533,,"In 2015, the indicator stood at 0.085 while in 2019, it declined to 0.046. The target value for 2030 which is set based on regional benchmark is at 32. Target 17.9 aims to enhance international support for implementing effective and targeted capacitybuilding in developing countries to support national plans to implement all the SDGs, including through North-South, South-South and triangular cooper",sdgi_TLS_VNR_2023
64,sdgi_03377_0,policy,12,0.448403,,"Sustainable cities and communities Latvia intends to attract people both to cities and rural areas by creating preconditions for decent employment and access to high-quality services. By 2027, the availability of good, energy-efficient housing will increase. In the future, people will prefer using sustainable transport – public transport, vehicles using renewables, and bicycles. Latvia will mainta",sdgi_LVA_VNR_2022
65,sdgi_04303_5,policy,15,0.448401,,"TARGET 15.1 By 2020, ensure the conservation, restoration and sustainable use of terrestrial and inland freshwater ecosystems and their services, in particular forests, wetlands, mountains and drylands, in line with obligations under international agreements. CITY INDICATORS FOR MONITORING THE SDG TARGETS Indicador 15.1.1: Number of protected hectares in the City Baseline and year Most recent valu",sdgi_ARG_VLR_buenos_aires_2022
66,ungdc_003640,policy,17,0.448396,,"The net effect of COVID-19 has resulted in job losses, export and other revenue decline, and development priorities put on hold, as I outline last July in our first ever Voluntary National Review Report on the implementation of our 2030 Agenda on Sustainable Development to the High-Level Political Forum. We have re-opened the economy for business to resume operations and invested in an economic st",ungdc_PNG_75_2020
67,sdgi_00450_2,policy,2,0.448138,,"The project was originally a civic society initiative by the Woman for Woman organisation, with the state subsequently also becoming involved. All the regions were involved starting in the 2019/2020 school year, as a result of which 9,600 disadvantaged children received support. Hunger no longer exists as a social issue The Czech Republic has successfully eliminated hunger and ensures a high level",sdgi_CZE_VNR_2021
68,sdgi_02227_1,policy,7,0.447842,,"In the period 2016–2021, several energy e fciency programmes were implemented that targeted various sectors, including the residential and public sectors. The values of indicator 7.3.1 – Energy intensity – were not reported in the NSSD 2030 monitoring process. Indicator 7.1.1 – Proportion of the population with access to electricity – is available for 2018 (MICS) and amounted to 99.9%, and 96.4% i",sdgi_MNE_VNR_2022
69,ungdc_000822,policy,17,0.447609,,"18/46 16-29553 line in the future. I commend our bigger brothers in our global family, notably China and the United States, for their commitment to this process. I urge the rest of our United Nations family to join them and help save those who urgently require immediate support and action to make it happen. This is an opportunity for us as leaders to push for an early entry into force of the Paris",ungdc_KIR_71_2016
