side,sdg,item_id,source,centroid_similarity,preview
policy,2,pol_0002492_0,pol_sdgi_sdgi_00519,0.879883,"The Second Voluntary National Review Report on SDGs (VNR2) - 2023 45 SDG 2: ZERO HUNGER End hunger, achieve food security and improved nutrition and promote sustainable agriculture 110 Social Reform Association (2020)..."
research,3,https://openalex.org/W2981662937,2019,0.782457,"In view of the limitations in presenting results of deep learning algorithms based on just one or very few methods, as illustrated earlier, we describe statistical methods that should be considered when evaluating dif..."
research,3,https://openalex.org/W4380052873,2023,0.778104,"2023; 29: 1113-1122Crossref PubMed Scopus (1) Google Scholar Prior to using deep learning algorithms, advanced risk assessment model building requires large and comprehensive datasets for training, development, and te..."
research,3,https://openalex.org/W4205941964,2022,0.770751,"RETRACTED ARTICLE: Artificial intelligence in disease diagnosis: a systematic literature review, synthesizing framework and future research agenda. Artificial intelligence can assist providers in a variety of patient..."
policy,3,pol_0002822_6,pol_sdgi_sdgi_00966,0.861816,"Target 3.8 Achieve universal health coverage, including financial risk protection, access to quality essential health-care services and access to safe, effective, quality and affordable essential medicines and vaccine..."
policy,3,pol_0002611_1,pol_sdgi_sdgi_00679,0.856934,"Health without inequalities, closer to and at the service of Agreement with the Bizkaia Anti-Aids Citizens Committee people. for the management of programmes to reduce harm in outpatient clinics for drug addicts. TARG..."
policy,3,pol_0002797_0,pol_sdgi_sdgi_00937,0.852051,"59 ASSESSMENT OF PROGRESS OVERALL EVALUATION The reduction in mortality rates in general stands out favourably, as well as the reduction in fertility rates among adolescents. There is also a reduction in the percentag..."
research,4,https://openalex.org/W4400573923,2023,0.724687,Tes Stifin Sebagai Alternatif Pemetaan Potensi Siswa Dalam Pembelajaran Berdiferensiasi Kurikulum Merdeka. In 2022 the government of the Republic of Indonesia launched a Kurikulum Merdeka to respond to educational cha...
research,4,https://openalex.org/W4387814570,2023,0.712547,"Effectiveness of Computer-assisted Teaching Program and Lecture Method on the Effect of Junk Food on Health among the Adolescence in Selected Schools of Digboi, Tinsukia. skills to a learner, student, or other audienc..."
research,4,https://openalex.org/W3008323629,2020,0.711158,"Neuroscience role in education. Education is the path that facilitates the acquisition of knowledge, skills, and abilities, the research aimed to study the brain and learning a fundamental role in education, it addres..."
policy,4,pol_0003010_1,pol_sdgi_sdgi_01232,0.887695,"Long-term initiatives to ensure equal access to education are being implemented, regardless of the socio-economic and cultural environment, which is also helping to reduce the student achievement gap. (continued on th..."
policy,4,pol_0002875_1,pol_sdgi_sdgi_01040,0.868652,"Ensure that all young people, and at least a substantial proportion of adults, both men and women, achieve reading, writing and mathematical skills. 4.7. Guarantee that all learners acquire the necessary theoretical a..."
policy,4,pol_0002962_0,pol_sdgi_sdgi_01178,0.861328,"VOLUNTARY NATIONAL REVIEW | 44 Priority Indicators The FSM has prioritized eight targets to ensure quality education and promote lifelong learning opportunities for all for this goal. Targets 4.1, 4.2, 4.7, 4.A, 4.B a..."
research,5,https://openalex.org/W3127696875,2019,0.703277,"Nämä lehdet ovat Cosmopolitan, Marie Claire, Glamour and Good Housekeeping. Tutkimuksen teoreettinen viitekehys muodostuu kahden tutkimusmenetelmän systemaattisesta sovellutuksesta; analyysin ensimmäisessä vaiheessa a..."
research,5,https://openalex.org/W2977593649,2019,0.664934,"Cultivating the sustainably gendered self. Traditional gender roles, and the extent to which they are rigidly enforced in a social context, can limit individual and group welfare and are linked to serious social issue..."
research,5,https://openalex.org/W2959403100,2019,0.65721,"As a consequence, the thesis reveals that despite their breadwinning status and the apparent power that it might be perceived to bring, it has not been sufficient for these women to overcome traditional gendering of w..."
policy,5,pol_0003344_0,pol_sdgi_sdgi_01678,0.899414,VOLUNTARY NATIONAL REVIEW REPORT ON THE IMPLEMENTATION OF THE 2030 AGENDA FOR SUSTAINABLE DEVELOPMENT 36 4.5 GOAL 5: ACHIEVE GENDER EQUALITY AND EMPOWER ALL WOMEN AND GIRLS Indicators Reported on: 5.2.1 Proportion of...
policy,5,pol_0003108_0,pol_sdgi_sdgi_01364,0.890137,TO ACHIEVE GENDER EQUALITY AND EMPOWER ALL WOMEN AND GIRLS VOLUNTARY LOCAL REVIEW ON THE SUSTAINABLE DEVELOPMENT GOALS IN THE STATE OF PARÁ 2023 TO AC H I E V E G E N DE R E Q UA L I T Y A N D E MP OW E R A L L WO ME...
policy,5,pol_0000068_64,pol_policy_manual_OECD_2022_SDGs_in_the_Balance_2022,0.883789,"only in Ukraine, but in Afghanistan, of 50/50 gender parity in decision- However, investing in gender Ethiopia, Myanmar, Syria, Yemen, and making at all levels, leveraging equality and engaging women in many other cou..."
research,6,https://openalex.org/W4392288334,2024,0.794833,"Artificial Neural Network Assessment of Groundwater Quality for Agricultural Use in Babylon City: An Evaluation of Salinity and Ionic Composition. In recent years, the decline in the level of Iraq's rivers necessitate..."
research,6,https://openalex.org/W4387226814,2023,0.790575,A multi-step approach to evaluate the sustainable use of groundwater resources for human consumption and agriculture. The rapid decline in both quality and availability of freshwater resources on our planet necessitat...
research,6,https://openalex.org/W4386526434,2023,0.77553,Application of GIS-based machine learning algorithms for prediction of irrigational groundwater quality indices. Agriculture is considered one of the primary elements for socioeconomic stability in most parts of Sudan...
policy,6,pol_0003422_0,pol_sdgi_sdgi_01792,0.898926,"!"" SDG 6. ENSURE AVAILABILITY AND SUSTAINABLE MANAGEMENT OF WATER AND SANITATION FOR ALL Access to water, sanitation and hygiene are considered to be the key socio-economic and health indicators, as well as the key de..."
policy,6,pol_0003560_4,pol_sdgi_sdgi_01989,0.889648,"By 2030, substantially increase water-use efficiency across all sectors and ensure sustainable withdrawals and supply of freshwater to address water scarcity and substantially reduce the number of people suffering fro..."
policy,6,pol_0003483_0,pol_sdgi_sdgi_01887,0.882812,"| SECOND VOLUNTARY NATIONAL REVIEW REPORT ON THE IMPLEMENTATION OF THE SUSTAINABLE DEVELOPMENT GOALS - JUNE, 2020 .. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ...."
research,7,https://openalex.org/W4406070050,2025,0.73774,"Machine learning based on reliable and sustainable electricity supply from renewable energy sources in the agriculture sector. Electricity is essential for several agricultural operations, including handling, processi..."
research,7,https://openalex.org/W2907112819,2018,0.735194,"Application of Machine Learning Algorithm to Forecast Load and Development of a Battery Control Algorithm to Optimize PV System Performance in Phoenix, Arizona. The paper presents the results of the research work fund..."
research,7,https://openalex.org/W4389351096,2023,0.721824,"""THE I-NERGY REFERENCE ARCHITECTURE FOR THE PROVISION OF NEXT GENERATION ENERGY SERVICES THROUGH ARTIFICIAL INTELLIGENCE"". Recently the energy sector undergoes a rapid transformation that revolves around digitalizatio..."
policy,7,pol_0003695_0,pol_sdgi_sdgi_02192,0.899902,"| SECOND VOLUNTARY NATIONAL REVIEW REPORT ON THE IMPLEMENTATION OF THE SUSTAINABLE DEVELOPMENT GOALS - JUNE, 2020 .. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ...."
policy,7,pol_0003720_0,pol_sdgi_sdgi_02223,0.873535,Voluntary National Review | 45 SD*  Ȃ $΍ordaEle and Clean Energy General Situation The energy sector accounted for about 74 percent of greenhouse gas (GHG) emissions in 2016. Electricity supply is primarily generated...
policy,7,pol_0000081_228,pol_policy_manual_UNEP_2023_Emissions_Gap_Report_2023_Broken_Record,0.867676,2023 Update. Paris. https://www.iea.org/reports/net-zero-roadmap-a-global-pathway-to-keep-the-15-0c-goal-in-reach. International Energy Agency and International Finance Corporation (2023). Scaling up Private Finance f...
research,8,https://openalex.org/W4401494192,2020,0.675217,Pada penelitian ini digunakan 50 data citra makanan untuk pengujian setiap kategori makanan dengan rata-rata akurasi sebesar 86% dan sistem dapat menentukan besaran kalori makanan sesuai dengan database kalori pada si...
research,8,https://openalex.org/W3176378923,2021,0.671834,Toward an Effective Analysis of COVID-19 Moroccan Business Survey Data using Machine Learning Techniques. COVID-19 pandemic has gravely affected our societies and economies with severe consequences. To contain the spr...
research,8,https://openalex.org/W2966741078,2019,0.666851,Implementation of Resilient Methods to Predict Open Unemployment in Indonesia According to Higher Education Completed. Unemployment is a big problem faced by the Indonesian people from year to year besides poverty. Th...
policy,8,pol_0003873_1,pol_sdgi_sdgi_02425,0.856445,"Target 8.2: Achieve higher levels of productivity of economies through diversification, technological upgrading, and innovation, including through a focus on high value added and labor-intensive sectors Indicator Tren..."
policy,8,pol_0003954_2,pol_sdgi_sdgi_02547,0.847656,"• Guaranteeing that people with dis￾abilities enjoy equal opportunities on the job market. • Promoting training, resources and fnancing for micro-entrepreneurs and other sectors of the economy in accor￾dance with thei..."
policy,8,pol_0004001_10,pol_sdgi_sdgi_02609,0.847168,"Source: GoE Estimate Books 2021 Figure 45: Government Expenditure to Social Protection Education Social Health 3.9 6.4 0.3 Key achievements • The country has 59283 SMEs • In 2021, the country managed to create 4860 jo..."
research,9,https://openalex.org/W4405826337,2024,0.777717,"Algorithms and Activation Function-IoT. In this new industrial era, IoT is an emerging technology. Industrialization has entered an entirely novel phase with the fusion or incorporation of deep neural network methods..."
research,9,https://openalex.org/W4392562355,2024,0.767953,Intelligent Technologies for Automated Electronic Systems. This volume explores a diverse range of applications for automated machine learning and predictive analytics. The content provides use cases for machine learn...
research,9,https://openalex.org/W7128708829,2025,0.761722,Machine Learning and Artificial Intelligence in Today's Perspective. This book is about the Machine Learning (ML) and the applications of Artificial Intelligence (AI) in the various fields of ML. The authors have expl...
policy,9,pol_0000085_91,pol_policy_manual_UnitedNationsSystem_2024_White_Paper_on_AI_Governance,0.867676,"Use Case: Law Enforcement Investigations United Nations The Abu Dhabi Declaration, Industrial UNIDO GC.18 Development Office (UNIDO) UNIDO Standards and Digital Transformation: Good Governance in a Digital Age; Page 4..."
policy,9,pol_0000092_16,pol_policy_manual_WorldBank_2021_Harnessing_Artificial_Intelligence_for_Development_in_the_Post_COVID_19_Era_A_Review_of_National_AI_Strategies_and_Policies,0.858398,"New centers and collaborations: This includes public-sector led initiatives and projects refers to collaborations among research centers and for AI adoption in public services, such as the scientists to pool resources..."
policy,9,pol_0000075_46,pol_policy_manual_SteeringGroupOfTheArtificialIntelligenceProgramme_2017_Finlands_Age_of_Artificial_Intelligence,0.85791,"• A culture of avoiding risks • We lack the courage to engage in • Dispersed resources, the absence of a large-scale reforms scale of economy PUBLICATIONS OF THE MINISTRY OF ECONOMIC AFFAIRS AND EMPLOYMENT 47/2017 2 A..."
research,10,https://openalex.org/W2998117953,2019,0.664955,"Buscamos a compreensão de diferentes perspectivas sobre os possíveis caminhos diferentes para uma articulação humanista no desenvolvimento da sociedade. O objetivo da pesquisa, é através de uma abordagem humanística b..."
research,10,https://openalex.org/W3139838525,2020,0.655452,"Trespassing of inequalities. Taking in consideration different cases of current marginalization, the paper focuses on the pheonomenon of normalisation of social exclusion. In particular, as illustrative cases the Neet..."
research,10,https://openalex.org/W3020658074,2020,0.65231,"Na styku rozwoju, niepełnosprawności i teorii postkolonialnej. Czy osoby niepełnosprawne są marginalizowane wśród osób marginalizowanych?. While inequalities and injustices originating from the social categorisations..."
policy,10,pol_0004311_0,pol_sdgi_sdgi_03059,0.851074,"VOLUNTARY NATIONAL REVIEW | 83 Priority Targets In order to reduce inequality114 in the FSM, the nation has prioritized four targets relating to per capita income of the bottom 40 percent, labor, official development..."
policy,10,pol_0004253_0,pol_sdgi_sdgi_02967,0.830078,"57 | Social sustainability | 10 Reduced inequalities SDG 10 is about taking steps towards equal societies. At the international level, the goal is to reduce inequalities within and between countries. In particular, th..."
policy,10,pol_0004389_0,pol_sdgi_sdgi_03157,0.82666,"Target 10.1 1By 2030, progressively achieve and sustain income growth of the bottom 40 per cent of the population at a rate higher than the national average In 2017, the average amount of households' expen￾diture in t..."
research,11,https://openalex.org/W2995076270,2019,0.745426,Predicting Road Accident Risk Using Google Maps Images and A Convolutional Neural Network. Location specific characteristics of a road segment such as road geometry as well as surrounding road features can contribute...
research,11,https://openalex.org/W3003921391,2019,0.739881,Traffic Density Investigation &amp; Road Accident Analysis in India using Deep Learning. Traffic congestion is a common affair in the big cities and towns. This issue is the outcome of the rapid increase in the popula...
research,11,https://openalex.org/W3148868591,2021,0.739076,Street Cleanliness Monitoring System using Deep Learning. Street cleanliness is a major concern for any country. It gives an idea of the country's well-being to its tourists and individuals in general. One of the majo...
policy,11,pol_0004500_0,pol_sdgi_sdgi_03316,0.90332,82 DEVELOPMENT IN NUMBERS VNR 2017 VNR 2020 2017-2020 Growth SDG11 - SUSTAINABLE CITIES AND COMMUNITIES OVERALL IMPLEMENTATION LEVEL (%) 92.81 77.34 -16.67% Overcrowding Rate (% of population) 1.4 2.2 57.1% Population...
policy,11,pol_0004580_0,pol_sdgi_sdgi_03425,0.840332,"Sustainable cities and communities Goal 11 102 Ensuring access to safe and afordable housing and basic services improves access to adequate sanitation and clean drinking water. Also, water-sensitive/resilient urban de..."
policy,11,pol_0004583_7,pol_sdgi_sdgi_03428,0.836426,Stra￾tegies and target documents therefore need to be constantly updated and evaluated and lead to continued development in the desired direction. The remit of the Council for Sustainable Cities is expected to have a...
research,12,https://openalex.org/W4411246526,2025,0.734993,AI-Driven Optimization of Food Waste Recycling in Egypt: Enhancing Circular Economy Strategies through Machine Learning and Automation. The increased use of carbon fiber composite (CFC) materials in various industries...
research,12,https://openalex.org/W4413073330,2025,0.710508,Machine Learning-based Predictive Life Cycle Assessment Approach during Product Design. Most of the past efforts for the environmental impact assessment has been carried out based on the manufactured product. Environm...
research,12,https://openalex.org/W7112566073,2025,0.709905,Sustainable development and circular economy supported by artificial intelligence tools. This paper researches how artificial intelligence (AI) can support sustainable development and the circular economy. It focuses...
policy,12,pol_0004725_3,pol_sdgi_sdgi_03641,0.891113,• High resistance to change when it comes to converting to new products or new disposal options. • Lack of knowledge and awareness of the importance of sustainable consumption and production. Recommendations and the w...
policy,12,pol_0004617_0,pol_sdgi_sdgi_03476,0.879883,164 2030 Agenda Barcelona SDG 12. Ensure sustainable consumption and production patterns Goal 12 Responsible production and consumption 166 2030 Agenda Barcelona 12 Responsible production and consumption 167 Municipal...
policy,12,pol_0004799_3,pol_sdgi_sdgi_03735,0.87793,"By 2020, achieve the environmentally sound management of chemicals and all wastes throughout their life cycle, in accordance with agreed international frameworks, and significantly reduce their release to air, water a..."
research,13,https://openalex.org/W7117487999,2025,0.783129,"AI for Weather Predictions: using ML for to Forecast Weather Floods or Droughts. Artificial Intelligence (AI) and Machine Learning (ML) have become transformative tools in modern meteorology, offering new ways to enha..."
research,13,https://openalex.org/W7117469920,2025,0.783129,"AI for Weather Predictions: using ML for to Forecast Weather Floods or Droughts. Artificial Intelligence (AI) and Machine Learning (ML) have become transformative tools in modern meteorology, offering new ways to enha..."
research,13,https://openalex.org/W7127076667,2025,0.775828,"AI-Driven Drought Monitoring: Advanced Machine Learning Techniques for Early Prediction. Amid the escalating impacts of climate change, droughts are becoming increasingly frequent and severe, necessitating advanced mo..."
policy,13,pol_0001927_0,pol_ungdc_sdg_STP_79_2024,0.900879,"As a small island state, my country is on the front line of the consequences of climate change, which represents the greatest existential threat to our populations. Although we contribute only a minuscule share of glo..."
policy,13,pol_0000991_3,pol_ungdc_sdg_SMR_74_2019,0.89209,"These are also the countries in which situations of armed conflict, political or economic instability and economic losses from natural disasters have jeopardized the implementation of the SDGs or even reversed the pro..."
policy,13,pol_0000244_1,pol_ungdc_sdg_SRB_70_2015,0.889648,"We must understand that we cannot control everyone’s lives even if we think it may be risky to leave things up to their free will. We continue to talk noncommittally about another major challenge, that of climate chan..."
research,14,https://openalex.org/W4412642951,2025,0.740675,Revolutionizing Fisheries: The Impact of Artificial Intelligence on Harvesting and Conservation. AI technology is revolutionizing the way of managing fisheries as it is helping the marine.About preservation of fish st...
research,14,https://openalex.org/W4412910102,2025,0.731136,Artificial Intelligence for monitoring Aquatic Pollutants: Safeguarding Ecosystem Health and Sustainable Fisheries Development. The application of Artificial Intelligence (AI) in monitoring aquatic pollutants marks an...
research,14,https://openalex.org/W4412845127,2025,0.728734,Mapping the distribution of the alien invasive Gracilaria vermiculophylla at the site of its first European introduction. The invasive red macroalga Gracilaria vermiculophylla has significantly impacted intertidal eco...
policy,14,pol_0000013_1163,pol_policy_scrape_SDSN_Sustainable_Development_Report_2024,0.895508,"0 2 2 2 0 0 2 2 2 1 • • A S Subjective well-being (average ladder score, worst 0-10 best) 4.32023 • G CO2 emissions embodied in fossil fuel exports (kg/capita) 0.72021 • • SDG14 - Life Below Water SDG4 - Quality Educa..."
policy,14,pol_0000013_2015,pol_policy_scrape_SDSN_Sustainable_Development_Report_2024,0.89502,"5 2 2 2 0 0 2 2 2 1 • • A A Subjective well-being (average ladder score, worst 0-10 best) 4.12014 • • CO2 emissions embodied in fossil fuel exports (kg/capita) NA NA • • SDG14 - Life Below Water SDG4 - Quality Educati..."
policy,14,pol_0000013_560,pol_policy_scrape_SDSN_Sustainable_Development_Report_2024,0.89502,"A 52 N 0 2 A 2 • • D • Subjective well-being (average ladder score, worst 0-10 best) 3.62023 • • CO2 emissions embodied in fossil fuel exports (kg/capita) * 0.02023 • • SDG14 - Life Below Water SDG4 - Quality Educatio..."
research,15,https://openalex.org/W2918084620,2018,0.777465,----------ABSTRACT---------- The landscape in the old agricultural border in Nicaragua is a fragmented matrix in a livestock environment involving many different land uses with different tree cover and carbon storage....
research,15,https://openalex.org/W3097494167,2020,0.766324,The percent of tree\ncrown cover was estimated for 2017 using Sentinel-2 images from June 29 and October\n22 and a random forest regression algorithm. The R2 of the best regression equation was\n0.42 with a RMSE of 15...
research,15,https://openalex.org/W4392574908,2021,0.763773,"The results indicate that the low deforestation rates found in farms participating in the PES program could be explained because forest lands would be spatially biased towards lower pressure, where opportunity cost is..."
policy,15,pol_0005385_0,pol_sdgi_sdgi_04545,0.90918,60 2. Life on land (SDG 15) The country's forest cover has increased from 7.01 million hectares in 2010 to 7.18 million hectares in 2021. A decade of rehabilitation efforts and strengthening protection activities of e...
policy,15,pol_0005270_0,pol_sdgi_sdgi_04373,0.875,"217 SDG17 - PA RTNERSHIPS FO R TH E GO A L S SDG 15 TARGETS 15�1 By 2020, ensure the conservation, restoration and sustainable use of terrestrial and inland freshwater ecosystems and their services, in particular fore..."
policy,15,pol_0005406_0,pol_sdgi_sdgi_04570,0.870605,"4.4.7. Goal 15. Protect, Restore and Pro￾mote Sustainable Use of Terrestrial Ecosys￾tems, Sustainably Manage Forests, Combat Desertification, And Halt and Reverse Land Degradation and Halt Biodiversity Loss The import..."
research,16,https://openalex.org/W7117308720,2025,0.722693,Artificial Intelligence Is Advancing: How Not to End up in the Fringes of Reality. The premise of the article is to summarize existing recommendations regarding the preparation of society for the unpredictable consequ...
research,16,https://openalex.org/W4393033879,2023,0.712209,"Introductory Statements, Five Articles, and Reflections with Descartes and Spinoza in mind. This issue of the IJSQ contains articles presenting quite diverse topics of study. In the opening section, noteworthy and sig..."
research,16,https://openalex.org/W4405916490,2024,0.708418,PHILOSOPHIC-ANTHROPOLOGICAL ASPECTS OF THE DEVELOPMENT OF ARTIFICIAL INTELLIGENCE: A VIEW FROM 2024. The article focuses on philosophic-anthropological issues related to the development of artificial intelligence (AI)...
policy,16,pol_0001894_0,pol_ungdc_sdg_NGA_79_2024,0.845703,4. The theme of this year’s General Assembly leaves us in no doubt that there is still work to be done to bridge the gap between aspirations and the realities confronting our world today. It also underscores the need...
policy,16,pol_0002003_1,pol_ungdc_sdg_DJI_80_2025,0.845215,"Under the leadership of the current Secretary General, at the request of member states, given the slow implementation of the SDGs and with a view to building a multilateralism that's more inclusive, more effective and..."
policy,16,pol_0001511_1,pol_ungdc_sdg_MKD_77_2022,0.838379,"We learn from experience that no problem is a minor problem. Every minor problem has the potential to grow into a more difficult and larger-scale problem. However, our coming together here at United Nations Headquarte..."
research,17,https://openalex.org/W4388069932,2023,0.697267,Implementation of APPGM-SDG Solutions Projects and Impact Evaluations in Malaysia's Central Region. The Malaysian Parliament established the All-Party Parliamentary Group Malaysia on the Sustainable Development Goals...
research,17,https://openalex.org/W3213389750,2021,0.693342,Scaling Impact Investment for Sustainable Development Goals: An Empirical Analysis. Impact Investing is a community of investors willing to create social and environmental impact along with financial returns by invest...
research,17,https://openalex.org/W4321843164,2022,0.682308,"The other results were land-use using AI Engine and educational videos that received an excellent response from the partners and non-partners being sustainable to create a kind of fostered village, especially in entre..."
policy,17,pol_0000014_68,pol_policy_scrape_SDSN_Sustainable_Development_Report_2025,0.915527,Sustainable Development Report 2025 Financing Sustainable Development to 2030 and Mid-Century Part 3 Commitment to the SDGs and UN-Based Multilateralism Part 3 Commitment to the SDGs and UN-Based Multilateralism 2025...
policy,17,pol_0000023_3,pol_policy_scrape_UN_SDG_Progress_Report_2019,0.89502,Countries are taking concrete actions to progress across all 17 SDGs: financing; resilience; sustainable and protect our planet: marine protected areas have doubled since 2010; inclusive economies; more effective inst...
policy,17,pol_0000013_82,pol_policy_scrape_SDSN_Sustainable_Development_Report_2024,0.891602,Sustainable Development Report 2024 The SDGs and the UN Summit of the Future Outlook Sustainable Development Report 2024 The SDGs and the UN Summit of the Future 3. Government Support Uruguay Argentina Sierra Leone To...
