sdg,rank_within_sdg,policy_item_id,policy_source_doc,research_item_id,research_publication_year,raw_cosine,adjusted_cosine,delta_cosine,policy_text_snippet,research_text_snippet
3,1,WHO_2021_Ethics_and_Governance_of_Artificial_Intelligence_for_Health_0014,WHO_2021_Ethics_and_Governance_of_Artificial_Intelligence_for_Health,https://openalex.org/W4407041968,2025,0.83629,0.83682,0.00053,ETHICS AND GOVERNANCE OF ARTIFICIAL INTELLIGENCE FOR HEALTH EXECUTIVE SUMMARY Artificial Intelligence (AI) refers to the ability of algorithms encoded in technology to learn from data so that they can perform automated tasks without every step in the process having to be programm,"Ethical Implications of AI in Healthcare: Balancing Innovation with Patient Privacy and Security. One area that has recently undergone massive changes is the healthcare sector, where Artificial Intelligence is reconsidering diagnostics, treatment, and patient management. While mo"
3,2,WHO_2021_Ethics_and_Governance_of_Artificial_Intelligence_for_Health_0072,WHO_2021_Ethics_and_Governance_of_Artificial_Intelligence_for_Health,https://openalex.org/W4407041968,2025,0.824073,0.824139,6.6e-05,"ETHICS AND GOVERNANCE OF ARTIFICIAL INTELLIGENCE FOR HEALTH 5. KEY ETHICAL PRINCIPLES FOR USE OF ARTIFICIAL INTELLIGENCE FOR HEALTH can ensure a clinician can override decisions made by AI systems and that machine autonomy can be restricted and made ""intrinsically reversible"". Re","Ethical Implications of AI in Healthcare: Balancing Innovation with Patient Privacy and Security. One area that has recently undergone massive changes is the healthcare sector, where Artificial Intelligence is reconsidering diagnostics, treatment, and patient management. While mo"
3,3,WHO_2021_Ethics_and_Governance_of_Artificial_Intelligence_for_Health_0170,WHO_2021_Ethics_and_Governance_of_Artificial_Intelligence_for_Health,https://openalex.org/W4402624161,2024,0.82255,0.823795,0.001245,"ETHICS AND GOVERNANCE OF ARTIFICIAL INTELLIGENCE FOR HEALTH 8. LIABILITY REGIMES FOR ARTIFICIAL INTELLIGENCE FOR HEALTH Although the performance of machine-learning algorithms is improving, there will still be errors and mistakes, for example because an algorithm has been trained",Accidental injustice: Healthcare AI legal responsibility must be prospectively planned prior to its adoption. This article contributes to the ongoing debate about legal liability and responsibility for patient harm in scenarios where artificial intelligence (AI) is used in health
3,4,WHO_2023_Regulatory_Considerations_on_Artificial_Intelligence_for_Health_0077,WHO_2023_Regulatory_Considerations_on_Artificial_Intelligence_for_Health,https://openalex.org/W4407041968,2025,0.808145,0.809835,0.00169,"Regulatory considerations on artificial intelligence for health 5.5 Privacy and data protection The WHO Global Strategy on Digital Health 2020-2025 classifies health data as sensitive personal data, or personally identifiable information, that requires a high standard of safety a","Ethical Implications of AI in Healthcare: Balancing Innovation with Patient Privacy and Security. One area that has recently undergone massive changes is the healthcare sector, where Artificial Intelligence is reconsidering diagnostics, treatment, and patient management. While mo"
3,5,sdgi_00923_1,sdgi_NPL_VNR_2017,https://openalex.org/W7117135993,2025,0.804324,0.806569,0.002245,Nepal has made remarkable progress on improving maternal health. The total fertility rate (TFR) of women aged 15-49 declined from 4.1 children in 2000 to 2.3 in 2016 (MOH 2017). Nepal plans to attain a replacement level by 2030. Reducing the TFR has multiplier effects on health a,"Trends and Differentials of Infant, Child, and Maternal Mortality in Nepal. Mortality is one of the most important indicators of demographic changes. It refers to the number of deaths per thousand mid-year population in a given period of time. The study was based on library based"
4,1,sdgi_01199_0,sdgi_IND_VNR_2020,https://openalex.org/W4402091079,2024,0.820463,0.817443,-0.00302,"The conviction that quality education is the foundation for improving the lives of its 1.3 billion citizens forms the sheet anchor of India’s education policy. Since leaving no one behind requires improving human capital to make informed decisions in all walks of life, the emphas","Quality Education for All: Moving from Access to Success in School. Two decades ago, access to education was the major concern in the area of school education in India.The availability of one school for every kilometer in India has now shifted the focus from access to education t"
4,2,India_National_AI_Strategy_NITI_2018_0057,India_National_AI_Strategy_NITI_2018,https://openalex.org/W4408713951,2024,0.792974,0.793768,0.000794,"Discussion Paper National Strategy for Artificial Intelligence implementation of AI must be preceded by efforts to digitise records of teacher performance, student performance, and curriculum. Several AI tools are being successfully used in other parts of the world, and they can ","AI-Assisted Tutoring Systems: Improving Engagement and Learning Outcomes in Elementary Education. In the ever-evolving horizon of education, the integration of Artificial Intelligence (AI) emerges as one of the promising aviators for the enhancement of instructional methods. This"
4,3,sdgi_01191_16,sdgi_GRC_VNR_2022,https://openalex.org/W2998415175,2019,0.791153,0.800011,0.008858,"The provision of high-quality pre-school education is seen as key priority to reduce long-term disparities in learning outcomes and other dimensions. Moreover, in order to ensure that every child in the country enjoys the right to education, the Government has launched policies f","Education of refugee students in Greece : teachers' experiences. Greece encountered an unparalleled flow of people in 2015, what has been described as a ""refugee crisis"". A substantial proportion of the refugee population comprised of children under the age of 18. The Greek state"
4,4,sdgi_01216_7,sdgi_KNA_VNR_2023,https://openalex.org/W3145514664,2021,0.774294,0.772203,-0.002091,"COVID-19 and Education School children of all ages have been impacted by the COVID-19 pandemic, primarily by the closure of schools in March 2020, resulting in both direct and indirect impacts. Te direct impact has been the disruption to children’s education. To mitigate this and","School closures, exam cancellations and isolation: the impact of Covid-19 on young people's mental health. Schools often provide structure and safety to students but particularly for vulnerable children and young people. The Covid 19 pandemic has caused unprecedented upheaval acr"
4,5,ASEAN_2023_ASEAN_Guide_on_AI_Governance_and_Ethics_0073,ASEAN_2023_ASEAN_Guide_on_AI_Governance_and_Ethics,https://openalex.org/W2587600302,2018,0.773363,0.771901,-0.001463,Individuals should also be able to acquire deeper insights into AI through schools and educational institutes. The curriculum of STEM disciplines needs to be periodically reviewed to keep up to date with the newest technological advancements in the data analytics and AI space. Fo,"Blue sky ideas in artificial intelligence education from the EAAI 2017 new and future AI educator program. The 7th Symposium on Educational Advances in Artificial Intelligence (EAAI'17, co-chaired by Sven Koenig and Eric Eaton) launched the EAAI New and Future AI Educator Program"
5,1,sdgi_01643_2,sdgi_SAU_VNR_2023,https://openalex.org/W2921817870,2019,0.854374,0.855661,0.001287,"Saudi Arabia has taken steps to achieve a cohesive method of equality between the men and women of society in various felds by enhancing their rights, support systems and care programs, thus improving their work environment in all sectors. In recent years, the government has take","The Strides of the Saudi Female Workforce: Overcoming Constraints and Contradictions in Transition. For years Saudi Arabia has been engulfed by a widespread gender gap, discrimination and inequality; however, the new era has ushered a paradigm shift that has beckoned a rising wom"
5,2,sdgi_01545_0,sdgi_IND_VNR_2020,https://openalex.org/W4205176642,2022,0.81875,0.813527,-0.005223,"The principles of gender equality and justice are embedded in the Constitution of India. Since its initial days as an independent nation state, India has taken bold steps to further gender equality. For instance, India adopted universal and equal sufrage in 1947, well before many",Sustainable Development Goals and India's Commitment to Gender Justice. Sustainable Development Goals are a set of seventeen interconnected objectives to achieve a sustainable future for all. They take a holistic and multidimensional approach to development to alter our planet by
5,3,sdgi_01643_13,sdgi_SAU_VNR_2023,https://openalex.org/W2921817870,2019,0.814935,0.814467,-0.000468,"Also, additional efforts are required to ensure the employment of Saudi women in managerial positions and in more productive and high value-added sectors. The government has launched initiatives to promote women’s entrepreneurship, but more efforts are needed to create an enablin","The Strides of the Saudi Female Workforce: Overcoming Constraints and Contradictions in Transition. For years Saudi Arabia has been engulfed by a widespread gender gap, discrimination and inequality; however, the new era has ushered a paradigm shift that has beckoned a rising wom"
5,4,sdgi_01620_1,sdgi_NZL_VNR_2019,https://openalex.org/W7131768761,2023,0.814837,0.813765,-0.001072,"We also want New Zealand to be a place where the contribution of all women and girls is valued, that all women and girls are financially secure and can fully participate and thrive, and that all women and girls are free from all forms of violence and harassment. As a matter of pr","Smashing the Patriarchy and Creating a Gender Equal Society Through Pay Transparency. While the foundations for redressing gender pay inequality in Aotearoa (New Zealand) were established over half a century ago, significant numbers of women still endure gender-based pay discrimi"
5,5,sdgi_01643_0,sdgi_SAU_VNR_2023,https://openalex.org/W2921817870,2019,0.813294,0.81226,-0.001034,"68 69 GENDER 5EQUALITY 70 71 The laws of the Kingdom of Saudi Arabia, derived from Islamic law, adopt the principle of complementary equality between men and women, taking into account the characteristics of both sexes, to achieve ultimate justice, as the Kingdom of Saudi Arabia ","The Strides of the Saudi Female Workforce: Overcoming Constraints and Contradictions in Transition. For years Saudi Arabia has been engulfed by a widespread gender gap, discrimination and inequality; however, the new era has ushered a paradigm shift that has beckoned a rising wom"
6,1,sdgi_01903_7,sdgi_LTU_VNR_2023,https://openalex.org/W4309327855,2022,0.78001,0.779754,-0.000256,"Firstly, the implementation of the updated monitoring programme, which provides more and better data on the status of water bodies. Secondly, the continuing and increasing diffuse pollution, mainly from agricultural activities, with high nitrogen inputs from fertilisation, and co","PREDICTION OF NITRATE CONCENTRATION IN GROUNDWATER USING MLR AND AGRICULTURAL INDICATORS. Environmental pollution results in the degradation of all segments of nature. Groundwater, as one of thesignificant sources of drinking water at the global level, is increasingly exposed to "
6,2,sdgi_01874_7,sdgi_IND_VNR_2020,https://openalex.org/W4367680957,2023,0.748484,0.745429,-0.003055,"While the floor of performance is relatively high, there is significant variation across States, pointing to the need for identifying and acting upon the factors responsible for such divergence. 68 INDIA VNR 2020 SUSTAINABLE DEVELOPMENT GOALS of schools have SEPARATE TOILETS for ","Immersive Research for Safer Sanitation in Bihar and Maharashtra, India. In 2022, FINISH Mondial and the Sanitation Learning Hub conducted a participatory and immersive research study to understand ground realities and lived experiences of sanitation and hygiene access in Nandurb"
6,3,sdgi_01785_3,sdgi_BGD_VNR_2020,https://openalex.org/W7112349387,2023,0.740398,0.730205,-0.010193,"The major task of the HLPW is to achieve SDG-6 particularly and other SDGs that rely on the development and management of water resources. Progress against targets 6.1 By 2030, achieve universal and equitable access to safe and affordable drinking water for all According to the W","Increasing the impact and sustainability of safe drinking water supply systems in rural Bangladesh : Randomized experiments with interventions in project life cycle. Tillgång till rent dricksvatten är en global utmaning, vilket återspeglas i hållbar utvecklingsmål 6. I Bangladesh"
6,4,sdgi_01880_18,sdgi_JAM_VNR_2022,https://openalex.org/W4400732843,2024,0.727371,0.724324,-0.003047,"The reduction of the NRW is also contributing to limiting the impact of climate change through better water-use effciency. Human Rights and Gender Equality Having access to adequate Water, Sanitation and Hygiene (WaSH) services is crucial for every woman, man, girl and boy, to li","Gendered perspective on water security, rights and conflicts in sub-Saharan Africa: a systematic review. The 2017 Global Risk Report ranked water crisis third among the top six global risks that greatly impact society. While the water crisis is disproportionately distributed worl"
6,5,sdgi_01996_9,sdgi_ZAF_VNR_2019,https://openalex.org/W4383551476,2023,0.726556,0.730845,0.004289,Water supply needs to be increased by optimizing the water mix to include desalinated water and treated Acid Mine Drainage (AMD). The adoption of new technologies to help support water use efficiency will be instrumental in reducing demand for water. Key challenges to achieving S,"Water Scarcity Management to Ensure Food Scarcity through Sustainable Water Resources Management in Saudi Arabia. Saudi Arabia (SA) faces a water shortage, and it further challenges sustainable agriculture, industrial development and the well-being of people. SA uses more than 80"
7,1,IPCC_AR6_WG3_Summary_Policymakers_2022_0122,IPCC_AR6_WG3_Summary_Policymakers_2022,https://openalex.org/W4386345781,2023,0.782515,0.780709,-0.001806,"Summary for Policymakers C.7. In modelled global scenarios, existing buildings, if retrofitted, and buildings yet to be built, are projected to approach net zero GHG emissions in 2050 if policy packages, which combine ambitious sufficiency, efficiency, and renewable energy measur","Renewable Energy Generation Technologies for Decarbonizing Urban Vertical Buildings: A Path towards Net Zero. Greenhouse gas (GHG) emissions, especially CO2, represent a global concern. Among those responsible for CO2 emissions, buildings stand out due to the consumption of energ"
7,2,sdgi_02173_8,sdgi_HRV_VNR_2023,https://openalex.org/W4386345781,2023,0.781466,0.780594,-0.000872,The main goal of these programmes is to reduce annual energy needs for heating and cooling of buildings by applying measures for improving the energy efciency of buildings and by integrating renewable energy sources systems whenever it is technically feasible and economically via,"Renewable Energy Generation Technologies for Decarbonizing Urban Vertical Buildings: A Path towards Net Zero. Greenhouse gas (GHG) emissions, especially CO2, represent a global concern. Among those responsible for CO2 emissions, buildings stand out due to the consumption of energ"
7,3,sdgi_02162_18,sdgi_GBR_VNR_2019,https://openalex.org/W7139301439,2024,0.767327,0.768396,0.001069,"This continues the long-term trend since 2007 Growth in the percentage of electricity generated from renewable sources in Wales: 2007 to 2017 Source: Welsh Government, Energy Generation in Wales Regional and local energy planning is being taken forward to accelerate the deploymen","Tidal Lagoon Schemes and Regional Development:Work Package 1: Report Electricity Generation Infrastructure in Wales: Ownership, financing and regulation. This Welsh Government Tidal Lagoon Challenge project is led by Cardiff University. We address the objectives of the Challenge "
7,4,MinistryOfFinanceFinland_2019_National_Strategy_for_Artificial_Intelligence_0084,MinistryOfFinanceFinland_2019_National_Strategy_for_Artificial_Intelligence,https://openalex.org/W4385719663,2023,0.764521,0.766317,0.001796,"5.2 Energy and utilities Denmark is at the forefront with regard to ensuring sustainability, green development and sustainable energy. This benefits the environment and is a competitive advantage for Danish businesses in a time when green technology is in great demand throughout ","AI in the Energy Sector. In recent times artificial intelligence (AI) has gained relevance in various sectors. The term artificial intelligence is broad, and almost all sectors utilize this advanced technology. AI becomes more and more important in the energy sectors because the "
7,5,sdgi_02144_1,sdgi_EGY_VNR_2018,https://openalex.org/W4205823067,2022,0.754343,0.754941,0.000597,"It provides guidance on the best energy mix, shows the technologyrelated and fnancial results of different “energy futures” based on scenario analysis, and provides policymakers with evidencebased policy analysis to allow them to make the most effective decisions. Egypt, like mos","Comprehensive Review on Renewable Energy Sources in Egypt-Current Status, Grid Codes and Future Vision. The development of the energy sector in Egypt is considered an urgent issue due to the rapid population rise rate. In particular, renewable energy sources (RESs) applications p"
8,1,SteeringGroupOfTheArtificialIntelligenceProgramme_2017_Finlands_Age_of_Artificial_Intelligence_0153,SteeringGroupOfTheArtificialIntelligenceProgramme_2017_Finlands_Age_of_Artificial_Intelligence,https://openalex.org/W3047337743,2019,0.792129,0.788715,-0.003414,"PUBLICATIONS OF THE MINISTRY OF ECONOMIC AFFAIRS AND EMPLOYMENT 21/2018 WORK IN THE AGE OF ARTIFICIAL INTELLIGENCE: FOUR PERSPECTIVES ON THE ECONOMY, EMPLOYMENT, SKILLS AND ETHICS At the same time, mechanisms that increase demand for labour are at work in the economy. Due to the ","Workforce Transition and Income Inequality in the Age of Automation. It is expected that automation and income inequality will have a major impact on the world economy in the 2020's and beyond. A research conducted by Bain (K. Harris, Kimson, &amp;amp; Schwedel, 2018) claimed tha"
8,2,SteeringGroupOfTheArtificialIntelligenceProgramme_2017_Finlands_Age_of_Artificial_Intelligence_0125,SteeringGroupOfTheArtificialIntelligenceProgramme_2017_Finlands_Age_of_Artificial_Intelligence,https://openalex.org/W4385837710,2023,0.790405,0.789988,-0.000417,"PUBLICATIONS OF THE MINISTRY OF ECONOMIC AFFAIRS AND EMPLOYMENT 21/2018 WORK IN THE AGE OF ARTIFICIAL INTELLIGENCE: FOUR PERSPECTIVES ON THE ECONOMY, EMPLOYMENT, SKILLS AND ETHICS While the rate at which jobs will disappear appears fast, it is considerably lower than rates Finlan","Review of: ""Beyond the Fear of Artificial Intelligence and Loss of Job: a Case for Productivity and Efficiency"". The article discusses a novel and controversial topic, and the author draws a positive conclusion that artificial intelligence can create new jobs by improving product"
8,3,SteeringGroupOfTheArtificialIntelligenceProgramme_2017_Finlands_Age_of_Artificial_Intelligence_0135,SteeringGroupOfTheArtificialIntelligenceProgramme_2017_Finlands_Age_of_Artificial_Intelligence,https://openalex.org/W2894587160,2018,0.785207,0.784389,-0.000818,"The second one focuses on qualitative changes in working life: what types of changes will take place within tasks and modes of work, including employment relationship models or the times, places and organisation of work, and whether the entire set of concepts relevant to work and","Artificial Intelligence in the Computer-Age Threatens Human Beings and Working Conditions at Workplaces. Due to the fact that there is a huge technological progress and automation trend in the working world in this 21st century, Artificial Intelligence (AI) is not only considered"
8,4,SteeringGroupOfTheArtificialIntelligenceProgramme_2017_Finlands_Age_of_Artificial_Intelligence_0143,SteeringGroupOfTheArtificialIntelligenceProgramme_2017_Finlands_Age_of_Artificial_Intelligence,https://openalex.org/W4399029807,2024,0.782844,0.782098,-0.000746,"WORK IN THE AGE OF ARTIFICIAL INTELLIGENCE: FOUR PERSPECTIVES ON THE ECONOMY, EMPLOYMENT, SKILLS AND ETHICS 3 Labour market dynamics in a technological revolution","The Role of Artificial Intelligence and Automation in Shaping Labor Markets. This article provides a comprehensive exploration of the role of Artificial Intelligence and automation in shaping labor markets. Through an interdisciplinary lens, the paper examines technological disru"
8,5,SteeringGroupOfTheArtificialIntelligenceProgramme_2017_Finlands_Age_of_Artificial_Intelligence_0021,SteeringGroupOfTheArtificialIntelligenceProgramme_2017_Finlands_Age_of_Artificial_Intelligence,https://openalex.org/W3047337743,2019,0.782831,0.779364,-0.003467,"how many people will have a job in the future) and the quality of work (i.e. the ways in which people's work will change). The bleakest predictions indicate that the amount of jobs and work available to people will decrease, the meaningful content of work will decline and the lab","Workforce Transition and Income Inequality in the Age of Automation. It is expected that automation and income inequality will have a major impact on the world economy in the 2020's and beyond. A research conducted by Bain (K. Harris, Kimson, &amp;amp; Schwedel, 2018) claimed tha"
9,1,OECD_2026_OECD_Due_Diligence_Guidance_for_Responsible_AI_0067,OECD_2026_OECD_Due_Diligence_Guidance_for_Responsible_AI,https://openalex.org/W4399308267,2024,0.823419,0.822202,-0.001217,"36  Box 2.8. Enabling transparency, explainability and traceability throughout the AI system lifecycle Transparency in this context refers to disclosure to ensure people are aware that AI is being used in a prediction, recommendation, decision, or in an interaction (e.g., a chat","Explainable AI: The Quest for Transparency in Business and Beyond. This paper provides an in-depth examination of Explainable Artificial Intelligence (XAI) and its significance in developing responsible AI. It covers the history of AI, the fundamental principles, the difference b"
9,2,sdgi_02675_1,sdgi_ESP_VLR_basque_2022,https://openalex.org/W4391759072,2024,0.823234,0.822196,-0.001038,"It is based on four pillars: scientifc excellence, technological-industrial leadership, open innovation and talent. ·Plan 2021-2024 of the Network of the Technology Parks of the Basque Country: to give impetus to more sustainable and efcient ecosystems, and actively contribute to","Basque Country digital economy and society. DESI 2023. This edition of the ""Basque Country Digital Economy and Society Report. DESI 2023"" has adapted the new methodology developed by the European Commission in the context of the Digital Decade to compare the performance of the Ba"
9,3,EuropeanCommission_2020_White_Paper_on_Artificial_Intelligence_A_European_Approach_to_Excellence_and_Trust_0028,EuropeanCommission_2020_White_Paper_on_Artificial_Intelligence_A_European_Approach_to_Excellence_and_Trust,https://openalex.org/W7112271227,2025,0.821103,0.816877,-0.004226,"Under the Product Liability Directive, a manufacturer is liable for damage caused by a defective product. However, in the case of an AI based system such as autonomous cars, it may be difficult to prove that there is a defect in the product, the damage that has occurred and the c",Research Briefs on Artificial Intelligence and Liability - Some Points of Attention and Future Perspectives. Artificial intelligence (AI) is becoming increasingly important in our daily lives and so is academic research on its impact on various legal domains. One of the fields th
9,4,GovernmentOfKenya_2025_Kenya_National_Artificial_Intelligence_Strategy_2025_2030_0091,GovernmentOfKenya_2025_Kenya_National_Artificial_Intelligence_Strategy_2025_2030,https://openalex.org/W4392941953,2023,0.820515,0.818108,-0.002407,"Global regulatory There is a lag in defining comprehensive ethical and legal frameworks pressure both locally and internationally� As AI rapidly advances, there are challenges in understanding and scoping evolving AI risks, including the risks of bias, discrimination, and potenti","Regulatory Strategies for Fostering Responsible AI Innovation in African Economies. The increasing adoption of Artificial Intelligence (AI) necessitates effective regulation, especially in Africa, owing to its varied socioeconomic conditions. This study examines AI governance in "
9,5,sdgi_02913_11,sdgi_UZB_VNR_2023,https://openalex.org/W4321348321,2023,0.813964,0.819478,0.005514,"Uzbekistan also launched a Strategy for Innovative Development for 2022- 2026 in 2022 to further improve the climate for innovative development in the country. The strategy and corresponding roadmap, in particular, support further liberalization, introduce measures to promote ent","DEVELOPMENT OF DIGITAL INFRASTRUCTURE IN UZBEKISTAN. <strong>Abstract:</strong> This article discusses the main socio-economic prospects that open up for the Republic of Uzbekistan due to the introduction of the digital economy, as well as the problems of digital infrastructure t"
10,1,sdgi_03003_1,sdgi_BGR_VNR_2020,https://openalex.org/W4387505901,2023,0.808114,0.808499,0.000385,"When measured with the Gini coefficient, it was 39.6 in 2018. Inequality in Bulgaria is also measured according to the Inequality-adjusted Human Development Index (IHDI). The IHDI calculated for 2018 decreases from 0.816 to 0.714 after accounting for inequality (with perfect equa",Income Inequality in Bulgaria. Income inequality in Bulgaria has been going through a process of dynamic changes in the last 30 years as a result of the socio-economic development of the country.Bulgaria has made a difficult but successful transition from planned to open market m
10,2,UN_2022_The_Sustainable_Development_Goals_Report_2022_0125,UN_2022_The_Sustainable_Development_Goals_Report_2022,https://openalex.org/W4390479460,2023,0.788613,0.785185,-0.003427,"The pandemic has caused a rise in income inequality, jeopardizing two decades of steady progress The ongoing COVID-19 pandemic is exacerbating global income Change in between-country income inequality, 1988-2021 (percentage change) inequality. As a result, the steady progress ove","The Covid-19 Pandemic as a Catalyst for Income Inequality. Abstract The goal of this paper is to examine COVID-19 potential long-run effects on income inequality, seeking answers in the wider context of inequality sources and foregoing evidence from industrialised countries. Thus"
10,3,UN_SDG_Progress_Report_2022_0125,UN_SDG_Progress_Report_2022,https://openalex.org/W4390479460,2023,0.788613,0.785185,-0.003427,"The pandemic has caused a rise in income inequality, jeopardizing two decades of steady progress The ongoing COVID-19 pandemic is exacerbating global income Change in between-country income inequality, 1988-2021 (percentage change) inequality. As a result, the steady progress ove","The Covid-19 Pandemic as a Catalyst for Income Inequality. Abstract The goal of this paper is to examine COVID-19 potential long-run effects on income inequality, seeking answers in the wider context of inequality sources and foregoing evidence from industrialised countries. Thus"
10,4,sdgi_03003_0,sdgi_BGR_VNR_2020,https://openalex.org/W4387505901,2023,0.782596,0.788002,0.005406,In the process of deep social and economic changes in Bulgaria over the last 30 years there has been an increase in inequality among the population. Growth is not yet inclusive enough to reduce poverty and economic and social inequalities. The main objective of the policies until,Income Inequality in Bulgaria. Income inequality in Bulgaria has been going through a process of dynamic changes in the last 30 years as a result of the socio-economic development of the country.Bulgaria has made a difficult but successful transition from planned to open market m
