rank,doc_id,corpus_type,assigned_sdg,projection_score,title,text_preview,source_doc_or_year
11,sdgi_00310_12,policy,1,0.472311,,"VOLUNTARY NATIONAL REVIEW 2023 ON THE IMPLEMENTATION 35 OF THE SUSTAINABLE DEVELOPMENT GOALS epidemic with a total budget of almost VND 104.5 trillion through cash payments or through direct and indirect policies 22. In general, in recent years, social assistance regimes and policies keep being expanded in terms of bene""ciaries, are implemented for the right purposes, to the right target groups in",sdgi_VNM_VNR_2023
12,sdgi_01940_5,policy,6,0.471993,,"ASSESSMENT OF PROGRESS IN THE AUTONOMOUS REGIONS OVERALL EVALUATION Progress in autonomous regions in the indicators impacting SDG 6 can only be analysed for both island regions through the «Safe Water» indicator, which is the only one with data for both regions. The level of excellence of 5. Progress on the goals and targets and evaluation of policies and measures taken so far from the perspectiv",sdgi_PRT_VNR_2023
13,UN_SDG_Progress_Report_2022_0177,policy,17,0.471317,,"120 If outside, left-aligned and 0p3 away. $6.3 billion (or 3.5 per cent of total net ODA), amounting to nearly Number line 0p2 below bottom bar. Stroke .25pt. 857 million dosTeicsk fmoarr kdse 0vpe3 lloonpgi.n Tge xct o0up1n bterlioews .t ick mark. 80 Legend categories right-aligned, 1p0 apart, 0p3 between color bubble and Since 2015, net ODA has increased by 20 per cent. Despite fiscal text. pre",UN_SDG_Progress_Report_2022
14,sdgi_00251_7,policy,1,0.470843,,"Child benefts should be index-linked, and should not entail deductions from other necessary welfare benefts for recipients; • maintain support for signifcant and enhanced ODA commitments to accelerate implementation of the 2030 agenda. Norway must continue to commit at least 1 per cent of GNI to ODA, and should commit to further ODA increases in light of post-pandemic challenges; • through develop",sdgi_NOR_VNR_2021
15,sdgi_00278_7,policy,1,0.47064,,"The Government of the ARP has also drafted the Sustainable Development Plan - ""Principe 2030"", which includes actions aimed at climate change resilience. The Government of STP is very sensitive to the problem of poverty in the country, precisely because of this, it has paid attention to poverty reduction programs, having allocated to them, in 2016, more than half of the external resources (53%) an",sdgi_STP_VNR_2022
16,sdgi_03646_0,policy,17,0.469918,,"| SECOND VOLUNTARY NATIONAL REVIEW REPORT ON THE IMPLEMENTATION OF THE SUSTAINABLE DEVELOPMENT GOALS - JUNE, 2020 .. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 66 4.12 ENSURE SUSTAINABLE CONSUMPTION AND PRODUCTION PATTERNS Indicator 12.1.1: Number of countries with sustainable",sdgi_KEN_VNR_2020
17,ungdc_003640,policy,17,0.469661,,"The net effect of COVID-19 has resulted in job losses, export and other revenue decline, and development priorities put on hold, as I outline last July in our first ever Voluntary National Review Report on the implementation of our 2030 Agenda on Sustainable Development to the High-Level Political Forum. We have re-opened the economy for business to resume operations and invested in an economic st",ungdc_PNG_75_2020
18,sdgi_02192_0,policy,7,0.467361,,"| SECOND VOLUNTARY NATIONAL REVIEW REPORT ON THE IMPLEMENTATION OF THE SUSTAINABLE DEVELOPMENT GOALS - JUNE, 2020 .. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 56 4.7 ENSURE ACCESS TO AFFORDABLE, RELIABLE, SUSTAINABLE AND MODERN ENERGY FOR ALL Indicator 7.1.1: Proportion of po",sdgi_KEN_VNR_2020
19,OECD_2022_SDGs_in_the_Balance_2022_0108,policy,17,0.466943,,"continue on the trajectory towards every human being, current and future, Targets are shown by goal, and goals sustainable development. Experience and thus improving well-being in a are clustered by the ""5Ps"" of the 2030 in the OECD area over the past three FIGURE 1: OECD countries' average distance from achieving SDG targets Goals 1: Eradicate poverty PARTNERSHIP 2: Food E 3: Health A C E P 4: Ed",OECD_2022_SDGs_in_the_Balance_2022
20,sdgi_00810_14,policy,3,0.466645,,"Modest progress is being registered towards achievement of UHC, as illustrated by improvements on the UHC service coverage index. In 2019, it was 54.9, an increase from 47.6 in 2016.18 Target 3.6: By 2020, halve the number of global deaths and injuries from road traffic accidents Target 3.7: By 2030, ensure universal access to sexual and reproductive health-care services, including for family plan",sdgi_ERI_VNR_2022
21,SDSN_Sustainable_Development_Report_2025_0069,policy,6,0.464445,,"PART 2 - THE SDG INDEX AND DASHBOARDS Figure 2.8 2025 SDG dashboards for OECD countries (levels and trends) DECENT INDUSTRY, RESPONSIBLE PEACE, GOOD HEALTH CLEAN WATER AFFORDABLE WORK AND INNOVATION SUSTAINABLE CONSUMPTION LIFE JUSTICE PARTNERSHIPS NO ZERO AND QUALITY GENDER AND AND CLEAN ECONOMIC AND REDUCED CITIES AND AND CLIMATE BELOW LIFE AND STRONG FOR THE POVERTY HUNGER WELL-BEING EDUCATION",SDSN_Sustainable_Development_Report_2025
22,sdgi_04894_0,policy,16,0.462249,,"5.16. SDG 16. PROMOTE PEACEFUL AND INCLUSIVE SOCIETIES FOR SUSTAINABLE DEVELOPMENT, PROVIDE ACCESS TO JUSTICE FOR ALL AND BUILD EFFECTIVE, ACCOUNTABLE AND INCLUSIVE INSTITUTIONS AT ALL LEVELS As well as life, education, health and other fundamental rights for all, access to justice for all and protection of peace environment are essential to ensure that sustainable development is fully realised. P",sdgi_TUR_VNR_2019
23,SDSN_Sustainable_Development_Report_2024_0121,policy,17,0.461695,,"Sustainable Development Report 2024 The SDGs and the UN Summit of the Future 3. Government Support preceding two full years."" The UN Fifth Committee Sweden). Box. 3.2 discusses and compares the evolution maintains a list of countries subject to the provisions of of expenditure on international solidarity and military Article 19, all of which are assigned a value of 0 on this expenditure since the",SDSN_Sustainable_Development_Report_2024
24,sdgi_03162_1,policy,17,0.461458,,"This target is measured by the percentage of tariff lines applied to imports with zero-tariff for all products. Timor-Leste showed progress in this aspect, increasing from 57.03 in 2015 to 71.42 in 2019. However, the percentage dropped to 55.30 in 2020, suggesting a potential increase in import tariffs. Target 10.b: Total resource flows for development: This indicator measures total assistance for",sdgi_TLS_VNR_2023
25,sdgi_03737_12,policy,12,0.46136,,"VOLUNTARY NATIONAL REVIEW 2023 ON THE IMPLEMENTATION 131 OF THE SUSTAINABLE DEVELOPMENT GOALS Ministries, sectors, and localities have proactively implemented many activities to accelerate the comprehensive treatment of establishments causing serious environmental pollution. By the end of 2021, 372 out of 435 establishments basically completed thorough treatment, no longer causing serious environm",sdgi_VNM_VNR_2023
26,UN_SDG_Progress_Report_2023_0226,policy,17,0.460313,,16 Office of the Special Representative of the Secretary-General on Violence Against Children Goal 4 Quality education..................................................2 0 Office of the United Nations High Commissioner for Human Rights (OHCHR) Office of the United Nations High Commissioner for Refugees (UNHCR) Goal 5 Gender equality ...................................................2 2 Organisati,UN_SDG_Progress_Report_2023
27,sdgi_05054_2,policy,17,0.460247,,"This corresponds to 0.59% of their collective gross national income(GNI). They stay committed to reaching their collective target of providing 0.7% of GNI as ODA by 2030 in line with the 2030 Agenda. 19 The EUand its Member States, in aTeam Europe approach, have supported partner countries towards sustainable recovery aligned with the SDGs. For this purpose, they provided EUR 47.7 billion from the",sdgi_EU_VNR_2023
28,sdgi_04369_3,policy,15,0.460068,,"The Comprehensive Plan will also include the city’s marine spatial planning and point out key habitats supporting local food webs, climate change needs, and recreational areas. A new Action Plan for the GRP 2021-2026 will be launched, where approx. EUR 8.9 million is allocated. This is an increase of 14% compared to the previous action plan. The action plan will improve the biodiversity and recrea",sdgi_SWE_VLR_helsingborg_2021
29,sdgi_01323_0,policy,4,0.459902,,"S 41 GOAL 4: ENSURE INCLUSIVE AND EQUITABLE QUALITY EDUCATION AND PROMOTE LIFELONG LEARNING OPPORTUNITIES FOR ALL There has been an increase in enrolment at all levels of education over the past three years. In the Mainland, the total enrolment of pupils in Standards I-VII increased from 8,639,202 (4,265,714 male and 4,373,488 female) pupils in year 2016 to 10,111,671 (5,046,571 male and 5,065,100",sdgi_TZA_VNR_2019
30,sdgi_00076_7,policy,8,0.459685,,"It is a project that aims to contribute to the achievement of SDGs 1 and 10 by supporting MASFAMU and Provincial Governments to improve programs, policies and technical capacities and skills in the social protection sector, so that the government can increasingly respond effectively to the needs of the most vulnerable people. In 2019, under the APROSOC pilot project, two quarterly payment sessions",sdgi_AGO_VNR_2021
31,sdgi_05190_1,policy,17,0.459647,,"17.9 Sweden has increased its support for capacity building in developing countries to implement all the SDGs. For example, Sida has a new strategy for capacity development. 17.10–17.12 Sweden promotes and safeguards free, open, and fair trade and actively promotes the participation of developing countries in world trade. Sweden worked to counter increased protectionism and trade barriers in the l",sdgi_SWE_VNR_2021
32,sdgi_04788_2,policy,16,0.459481,,"It was established to strengthen human rights principles and their protection in the Kingdom. It is worth noting that the Centre has full membership in the SCA linked to the International Coalition for National Human Rights Centres associated with the UN after receiving A-status from the 16.1.1 Number of victims of intentional homicide per 100,000 population, by sex and age 2020 2016 Adult Female",sdgi_JOR_VNR_2022
33,sdgi_01880_7,policy,3,0.459443,,"Further, all households in the GKMA travelled less than 500 m. The situation differs for the OUCs and Rural Areas, at 74.3 per cent and 51.1 per cent respectively. The improvement in the proportion for OUCs may be attributed to the increase in the proportion having access to improved sources and is consistent with projects rolled out by the NWC up to 2019. 140 CLEAN WATER AND SANITIZATION VOLUNTAR",sdgi_JAM_VNR_2022
34,OECD_2022_Global_Outlook_on_Financing_for_Sustainable_Development_2023_No_Sustainability_Without_Equity_0228,policy,13,0.45893,," 123 with the goals of the Paris Agreement on climate change (OECD, 2021 ). Their declaration recognised [165] the key role played by ODA and other official resources to achieve the Paris Agreement objectives and committed to scaling up finance for climate adaptation. Since the start of the pandemic, official providers have also made numerous commitments in global health, such as the G20 leaders'",OECD_2022_Global_Outlook_on_Financing_for_Sustainable_Development_2023_No_Sustainability_Without_Equity
35,sdgi_00931_13,policy,13,0.458523,,"Improving quality and reach  Adopt internationally validated best practices to strengthen tobacco, alcohol, and substance abuse services.  Change social norms around tobacco and alcohol.  Strengthen law enforcement measures to control the import of illicit drugs (see SDG 16). Building resilience  Address the health impacts of climate change including the increasing risk of vector borne disease",sdgi_PLW_VNR_2019
36,UNDP_2022_Human_Development_Report_2021_2022_Shaping_Our_Future_in_a_Transforming_World_0555,policy,17,0.458503,,"with lower economic growth, investment and trust and embrace a comprehensive vision 80 Andrighetto and Vriens 2022; Szekely and tax revenue (Cerra and others 2021). And of human rights also include updated gover- others 2021. governments that are captured by vested in- nance arrangements to deliver better public 81 See Nunn (2022). terests are liable to hinder societally needed goods, health cover",UNDP_2022_Human_Development_Report_2021_2022_Shaping_Our_Future_in_a_Transforming_World
37,SDSN_Sustainable_Development_Report_2024_0071,policy,6,0.457352,,"PART 2 - THE SDG INDEX AND DASHBOARDS Figure 2.9 2024 SDG dashboards for OECD countries (levels and trends) DECENT INDUSTRY, RESPONSIBLE PEACE, GOOD HEALTH CLEAN WATER AFFORDABLE WORK AND INNOVATION SUSTAINABLE CONSUMPTION LIFE JUSTICE PARTNERSHIPS NO ZERO AND QUALITY GENDER AND AND CLEAN ECONOMIC AND REDUCED CITIES AND AND CLIMATE BELOW LIFE AND STRONG FOR THE POVERTY HUNGER WELL-BEING EDUCATION",SDSN_Sustainable_Development_Report_2024
38,sdgi_04793_0,policy,17,0.457312,,"| SECOND VOLUNTARY NATIONAL REVIEW REPORT ON THE IMPLEMENTATION OF THE SUSTAINABLE DEVELOPMENT GOALS - JUNE, 2020 .. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 72 4.16 PROMOTE PEACEFUL AND INCLUSIVE SOCIETIES FOR SUSTAINABLE DEVELOPMENT, PROVIDE ACCESS TO JUSTICE FOR ALL AND B",sdgi_KEN_VNR_2020
39,SDSN_Sustainable_Development_Report_2025_1102,policy,8,0.457049,,"2 82 2 0 0 2 2 3 1 • • D A E P x e p rs r o o n p s r i h at e io ld n i s n a p re ri s la o w n f ( u p l e a r n 1 d 0 a 0 d ,0 e 0 q 0 u p a o te p ly u l c a o ti m on p ) ensated (worst 0-1 best) 16 N 5. A 52 N 02 A 2 • • A • SDG8 - Decent Work and Economic Growth SDG17 - Partnerships for the Goals Adjusted GDP growth index (worst 0-100 best) 72.72023 • • Government spending on health and ed",SDSN_Sustainable_Development_Report_2025
40,sdgi_03404_2,policy,11,0.456845,,"It is anticipated that over the next five years, these places can grow using sustainable practices and methods. The City Authorities will contribute to the promotion of affordable land and housing by 25 percent of population having access to such, stabilisation of the population growth at 0.2 percent, decline of law and order issues at the community level by 55 percent, and the growth of business",sdgi_PNG_VNR_2020
41,sdgi_04569_5,policy,15,0.456779,,"Key national policy initiatives in 2017–2020 The investment in the protection of valuable nature was SEK 1.3 billion in 2017, SEK 1.4 billion in 2018 and almost SEK 1 billion in 2019. The budget for 2020 was SEK 870 million. Investments in measures for valuable nature were almost SEK 1 billion in 2017, SEK 1.2 billion in 2018 and SEK 860 million in 2019. SEK 1 billion 120 Government Ofces of Swede",sdgi_SWE_VNR_2021
42,sdgi_00657_4,policy,3,0.456379,,"GOAL 3.7 Ensure, through the National Public Health Service (from the original, SUS), universal health coverage, access to quality essential health services at all levels of care and access to safe, effective, and quality essential medicines and vaccines. GOAL 3.8 By 2030, substantially reduce the number of deaths and illnesses from hazardous chemicals, contamination and pollution of the air and g",sdgi_BRA_VLR_pará_2022
43,sdgi_03136_2,policy,10,0.455377,,"Between September 2022 and September 2023, the eligibility threshold will increase by 12% ASSESSMENT OF PROGRESS IN THE AUTONOMOUS REGIONS OVERALL EVALUATION The assessment of SDG 10 for the national island regions is analytically undermined, to a certain extent, by the lack of indicators broken down at NUTS II level in this feld. Figure 43 – Compensation of employees in gross value added in the a",sdgi_PRT_VNR_2023
44,sdgi_01967_9,policy,6,0.454858,,"The country is currently developing a Draft Wetlands policy which will ensure protection of such important sites. There has been an increase in poor utilization of wetlands since 2019. For instance, Emaswati has constructed houses in such lands and the diverse plants has been improperly harvested for commercial purposes. The country needs to speed up the attempt of devising a strategy to protect t",sdgi_SWZ_VNR_2022
45,sdgi_01004_7,policy,4,0.454755,,"24 The following is a selection of the indicators defined for monitoring SDG 4. The full list is provided in the Annex to this document. Some indicators do not present 2020 values due to compliance with national and jurisdictional regulations for Promotion and Evaluation during the pandemic (Res. CFE N° 368/2020 and Res. 2015/2020 ME-GCABA). Likewise, the indicators declared in this report may reg",sdgi_ARG_VLR_buenos_aires_2022
46,sdgi_04795_0,policy,16,0.454564,,"SDG 084 16. PEACE, JUSTICE & STRONG INSTITUTIONS Government Efectiveness, Accountability and Political Stability(WGI) 75 percentiles 19/100,000 80% Intentional Homicide per 100,000 % of Women Victims in Domestic Violence Incidents National Security Budget as % of GDP (2019/20) SDG 16: Peace, Justice, and Strong Institutions Promote peaceful and inclusive societies for sustainable development, prov",sdgi_KNA_VNR_2023
47,sdgi_03446_7,policy,11,0.454559,,"This is being implemented in collaboration with the informal sector and business community. The Government is committed to further enhancing the quality of life and developmental potential of the Grenadines and is working with the private sector and NGOs in those islands. The Canouan investors, the Mustique Company and a host of environmental NGOs on Union Island have continued to support educatio",sdgi_VCT_VNR_2020
48,sdgi_04898_11,policy,16,0.454349,,"Reform of the system of internal afairs bodies has enabled the following achievements: y decrease in the number of sexual violence cases (number of victims of rape in the last 12 months decreased from 0.72 persons per 100,000 in 2015 to 0.46 persons in 2018), including due to higher efciency of preventive activities; y reduction in illicit trafcking of weapons, ammunition and explosive materials:",sdgi_UKR_VNR_2020
49,sdgi_00639_1,policy,3,0.454237,,"3.2 By 2030, end preventable deaths of newborns and children under 5 years of age, with all countries aiming to reduce neonatal mortality to at least as low as 12 per 1,000 live births and under-5 mortality to at least as low as 25 per 1,000 live births. 3.3 By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and othe",sdgi_ARG_VLR_buenos_aires_2021
50,sdgi_05167_5,policy,9,0.454146,,"In indicator 17.16.1 we note the signifcant improvement in the medium-term predictability of cooperation (2016: 18% and 2018: 93%), and in untied aid (2016: 49% and 2018: 76%). The use of partner countries’ results frameworks and planning tools, the use of their public fnance management systems, and also annual predictability are the areas where it appears that increased efforts are needed to make",sdgi_PRT_VNR_2023
51,sdgi_00285_18,policy,1,0.453958,,"This hinders development on land generally for the whole country specifically where issues of access to land, land use and security of tenure are concerned. 23 CHAPTER FOUR Source: External Assistance Report 2019/20 and 2020/21 Target 1.a Ensure significant mobilization of resources from a variety of sources, including through enhanced development cooperation, in order to provide adequate and pred",sdgi_SWZ_VNR_2022
52,sdgi_00245_7,policy,6,0.45393,,)Ζ*85(3RSXODWLRQFRYHUHGE\\VRFLDOSURWHFWLRQIORRUVV\\VWHPV 6RXUFHV16Ζ2DQG3HRSOHȇV 'DLO\\ 39+66SURJUDPPH 1DWLRQDO+RPH*URZQ6FKRRO)HHGLQJ3URJUDPPH 8QHPSOR\\PHQWJUDGXDWHGDWDEDVHV &DVK7UDQVIHU3URJUDPPH 53 A Second Voluntary National Review June 2020 The proxy used for basic services is access to improved sanitation services (Indicator 1.4.1a) and improved water sources (indicator 1.4.1b). The baseline figure,sdgi_NGA_VNR_2020
53,sdgi_00822_0,policy,3,0.453751,,"39 40 SDG 3: Good Health and Well-Being Ensure Healthy Lives and Promote Well-being for All at All ages Fiji’s priority targets for SDG 3 are: Target 3.1 – By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births Target 3.2 - By 2030, end preventable deaths of new-borns and children under 5 years of age, with all countries aiming to reduce neonatal mortality to a",sdgi_FJI_VNR_2023
54,OECD_2022_Global_Outlook_on_Financing_for_Sustainable_Development_2023_No_Sustainability_Without_Equity_0016,policy,17,0.453199,, 11 LMIC Lower middle-income country MDB Multilateral development bank ODA Official development assistance ODF Official development finance OOF Other official flows PDB Public development bank PPG Public and publicly guaranteed SDG Sustainable Development Goal SDR Special Drawing Rights SIDS Small island developing states TOSSD Total Official Support for Sustainable Development UMIC Upper middle-,OECD_2022_Global_Outlook_on_Financing_for_Sustainable_Development_2023_No_Sustainability_Without_Equity
55,sdgi_04633_3,policy,17,0.452615,,"16.7 ODSBCN-1672 Number of citizen initiatives successfully presented 4 0 2020 "" "" 16.7 ODSBCN-1673 Number of citizen consultations held 0 0 2020 = = 16.7 ODSBCN-1674 Proportion of people who take part in associations or organisations in their neighbourhood 14.0% 10.5% 2021 "" "" 16.7 ODSBCN-1675 Participation in municipal elections 60.6% 66.2% 2019 ! = 16.7 ODSBCN-16101 Result of the annual evaluat",sdgi_ESP_VLR_barcelona_2021
56,UN_AI_Advisory_Body_Final_Report_2024_0195,policy,9,0.452259,,"in high/upper- 3 Aware of AI causing positive impact middle-income countries?"" 1 2 3 4 5 Increasing economic activity 4% 26% 47% 10% 12% n = 115 3.00 Accelerating scientific discoveries 5% 15% 40% 25% 15% 107 3.31 SDG 3 - Good health and well-being 19% 26% 35% 8% 12% 95 2.67 SDG 4 - Quality education 26% 27% 31% 10% 5% 96 2.42 SDG 11 - Sustainable cities and communities 38% 18% 34% 8% 3% 77 2.19 S",UN_AI_Advisory_Body_Final_Report_2024
57,sdgi_03223_2,policy,11,0.451913,,"The few indicators for this SDG that have decreased are also closely linked to the pandemic. In 2020, the amount of travel decreased and, logically, so too the technical exchanges of the international cooperation programme. It remains to be seen whether this trend will become consolidated over the coming years or is simply a one-off event. In order to defend the right to a decent home for all peop",sdgi_ESP_VLR_barcelona_2021
58,ungdc_002908,policy,13,0.451735,,"However, despite those advances, the reports urge us to redouble our efforts urgently. The natural environment is deteriorating at an alarming rate. Sea levels are rising, ocean acidification is accelerating, the last four years have been the hottest on record and 1 million plant and animal species are threatened with extinction. At the same time, the number of people suffering from hunger continu",ungdc_MCO_74_2019
59,sdgi_03293_0,policy,11,0.451586,,"!""#$%&'()*(+!,+- ,./01.12343562*67*481294*:;<;*429*3=1* >?>34524@01*91A106/.123*8640>*52*B6>254*429*C1DE186A524 !! SDG 11. MAKING CITIES AND HUMAN SETTLEMENTS INCLUSIVE, SAFE, RESILIENT, AND SUSTAINABLE BiH is composed of 145 local government units, comprising municipalities and cities. Among these, 79 are located in the FBiH, 65 in the RS, and one in the BD BiH. Notably, several cities such as Sa",sdgi_BIH_VNR_2023
60,ungdc_003206,policy,13,0.451469,,"At a time when 13 people lose their lives every minute owing to air pollution and when global warming threatens our very future, we cannot afford to remain indifferent. First and foremost, we need to strengthen the capacity and efficiency of the United Nations. In particular, we should immediately carry out much- needed fundamental reforms of the Security Council, in line with the principles of ju",ungdc_TUR_74_2019
61,SDSN_Sustainable_Development_Report_2025_2038,policy,8,0.451344,,"7 52 2 0 0 2 2 3 1 • • A A E P x e p rs r o o n p s r i h at e io ld n i s n a p re ri s la o w n f ( u p l e a r n 1 d 0 a 0 d ,0 e 0 q 0 u p a o te p ly u l c a o ti m on p ) ensated (worst 0-1 best) 7 N 1. A 52 N 02 A 2 • • A • SDG8 - Decent Work and Economic Growth SDG17 - Partnerships for the Goals Adjusted GDP growth index (worst 0-100 best) 70.92023 • • Government spending on health and edu",SDSN_Sustainable_Development_Report_2025
62,sdgi_04303_5,policy,15,0.450972,,"TARGET 15.1 By 2020, ensure the conservation, restoration and sustainable use of terrestrial and inland freshwater ecosystems and their services, in particular forests, wetlands, mountains and drylands, in line with obligations under international agreements. CITY INDICATORS FOR MONITORING THE SDG TARGETS Indicador 15.1.1: Number of protected hectares in the City Baseline and year Most recent valu",sdgi_ARG_VLR_buenos_aires_2022
63,SDSN_Sustainable_Development_Report_2025_1532,policy,10,0.450788,,. . . . . 7 3 1 3 1 2 2 2 2 2 2 2 0 0 0 0 0 0 2 2 2 2 2 2 3 2 3 2 0 2 • • • • • • D A A A A A Y Ex ie p ld o r g ts a p o f c h lo a s z u a r r e d o (% us o p f e p s o ti t c e id n e ti s a l ( t y o ie n l n d e ) s per million population) 7 4 6 5 . . 2 2 2 2 0 0 2 2 3 2 • • • • S G Pa D in lm i G c a 1 o r e 0 a f t f i - i o c i R en e t duced Inequalities 25 1 . .,SDSN_Sustainable_Development_Report_2025
64,sdgi_01520_27,policy,5,0.450527,,"Actions by the EU and its Member States are mutually supportive and are coordinated to ensure complementarity and a positive impact in support of the SDGs. In addition to acting together with the EU through joint programming and Team Europe Initiatives, Member States carry out their own projects in support of the 2030 Agenda including SDG 5, such as the following illustrative initiatives. 77Progre",sdgi_EU_VNR_2023
65,sdgi_05207_8,policy,17,0.45046,,"In 2015, the indicator stood at 0.085 while in 2019, it declined to 0.046. The target value for 2030 which is set based on regional benchmark is at 32. Target 17.9 aims to enhance international support for implementing effective and targeted capacitybuilding in developing countries to support national plans to implement all the SDGs, including through North-South, South-South and triangular cooper",sdgi_TLS_VNR_2023
66,sdgi_03425_14,policy,11,0.45029,,"Source: Slovak Hydrometeorological Institute Share of PM2,5 emmissions by sector, 2020 Goal 11: Sustainable cities and communities 113 876543210 2015 2016 2017 2018 2019 2020 % of population Population reporting occurrence of crime, violence or vandalism in their area Source: Eurostat, online data code: SDG_16_20 11.7 11.7.2 By 2030, provide universal access to safe, inclusive and accessible, gree",sdgi_SVK_VNR_2023
67,sdgi_04839_17,policy,17,0.450249,,"An Inter-Ministerial Committee (IMC) has been appointed to coordinate this initiative. The OSSAPSDGs chairs the IMC, and the body meets quarterly to review SDGs implementation across the federal MDAs. At the sub-national level, OSSAP-SDGs in partnership with the United Nations Development Programme (UNDP) is working with the 36 States and the FCT to mainstream the priority SDGs into the medium and",sdgi_NGA_VNR_2020
68,sdgi_03082_0,policy,10,0.449903,,"| SECOND VOLUNTARY NATIONAL REVIEW REPORT ON THE IMPLEMENTATION OF THE SUSTAINABLE DEVELOPMENT GOALS - JUNE, 2020 .. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 62 4.10 REDUCE INEQUALITIES WITHIN AND AMONG COUNTRIES Indicator 10.4.1: Labour share of GDP, comprising wages and so",sdgi_KEN_VNR_2020
